Unique Identifier,Model Number,Number of Processors (chips,Number of Cores (Threads),Total Number of Threads,Frequency,L1Cache,L2Cache,L3Cache,OtherCache,Front Side Bus,Multiplier,CPU Voltage,Thermal Design Power (W),Scenario Design Power,Socket,Socket Configuration,Release Date,Part Numbers,SSpec Number,Processor Release Price(USD),Turbo Boost,GPU Model,GPU Frequency,I/O Bus,Accepted Memory,Addressable Memory,Transistors,Manufacturing Process,Typical Use,Cache,Motherboard,Benchmarked System Memory,Floating Point Unit,Other Hardware,Disk Subsystem,Operating System,Compiler,File System,System State,Kernel Extensions,Other Software,SPEC License #,SPEC Integer 95,SPEC Floating Point 95,SPEC Integer Rate 95,SPEC Floating Point Rate 95,SPEC Integer 2006,SPEC Floating Point 2006,SPEC Integer Rate 2006,SPEC Floating Point Rate 2006,CPU Characteristics,Auto Parallel,Parallel,Firmware,Base Pointers,Peak Pointers,Total System Cost,TPC Performance,Cluster,Load Time (hours),Total Storage/Database Size Ratio,Number of Storage Devices,Redundancy Level,Data Generation Time (hours),Data Sort Time (hours),Data Validation Time (hours),Node Count,Concurrent Streams,Storage Ratio,Memory Ratio,Load Test Time,Power Test Time,Throughput Test Time,Green 500 Rank,Rmax,Power,How?,MFLOPS/Watt,Total Cores,Year,Name,Manufacturer,Computer,Site,Country,Segment,Top500 Rank,Accelerator/Coprocessor Cores,RPeak,Efficiency(%),NMax,Architecture,Processor Technology,OS Family,Accelerator/Coprocessor,Cores Per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Power Source,NHalf,Notes,Green500 Previous Rank,Top500 Previous Rank,First Appearance,First Rank,Power Efficiency[GFLOPS/Watt],Power Quality Level,Measured Cores,Optimized Run (HPL),Optimized Run (Peak Power),Site ID,System ID,Authors,Conversion To XML,Date,Schema By,System Address,Installation Site Address,Area of Installation,System Name,Town,State,Power Measured Size,Measured Size,3DMark CPU Score,P3Mark,CPUmark,SingleThreadMark,SPEC 2017 Integer Base Speed,SPEC 2017 Integer Peak Speed,SPEC 2017 Floating Point Base Speed,SPEC 2017 Floating Point Peak Speed,SPEC 2017 Integer Base Rate,SPEC 2017 Integer Peak Rate,SPEC 2017 Floating Point Base Rate,SPEC 2017 Floating Point Peak Rate,Graph500 Rank,Previous Graph500 Rank,Application,Usage,Scale,GTEPS,C_Time,Network,HPCG [TFlop/s],Application Area,Information Source,
PI0020,Intel® Core™ i7-4820K Processor,,4,,3.70 GHz,,,,,5 GT/s DMI2,,,130 W,,,,Q3'13,,,,3.90 GHz,,,,,,,22 nm,,10 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/77781/Intel-Core-i7-4820K-Processor-10M-Cache-up-to-3_90-GHz
PI0021,Intel® Core™ i7-3970X Processor Extreme Edition,,6,,3.50 GHz,,,,,5 GT/s DMI2,,,150 W,,,,Q4'12,,,,4.00 GHz,,,,,,,32 nm,,15 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/70845/Intel-Core-i7-3970X-Processor-Extreme-Edition-15M-Cache-up-to-4_00-GHz
PI0022,Intel® Core™ i7-3960X Processor Extreme Edition,,6,,3.30 GHz,,,,,5 GT/s DMI2,,,130 W,,,,Q4'11,,,,3.90 GHz,,,,,,,32 nm,,15 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/63696/Intel-Core-i7-3960X-Processor-Extreme-Edition-15M-Cache-up-to-3_90-GHz
PI0023,Intel® Core™ i7-3940XM Processor Extreme Edition,,4,,3.00 GHz,,,,,5 GT/s DMI,,,55 W,,,,Q3'12,,,,3.90 GHz,,,,,,,22 nm,,8 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/71096/Intel-Core-i7-3940XM-Processor-Extreme-Edition-8M-Cache-up-to-3_90-GHz
PI0024,Intel® Core™ i7-3930K Processor,,6,,3.20 GHz,,,,,5 GT/s DMI2,,,130 W,,,,Q4'11,,,,3.80 GHz,,,,,,,32 nm,,12 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/63697/Intel-Core-i7-3930K-Processor-12M-Cache-up-to-3_80-GHz
PI0025,Intel® Core™ i7-3920XM Processor Extreme Edition,,4,,2.90 GHz,,,,,5 GT/s DMI,,,55 W,,,,Q2'12,,,,3.80 GHz,,,,,,,22 nm,,8 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/64887/Intel-Core-i7-3920XM-Processor-Extreme-Edition-8M-Cache-up-to-3_80-GHz
PI0026,Intel® Core™ i7-3820 Processor,,4,,3.60 GHz,,,,,5 GT/s DMI2,,,130 W,,,,Q1'12,,,,3.80 GHz,,,,,,,32 nm,,10 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/63698/Intel-Core-i7-3820-Processor-10M-Cache-up-to-3_80-GHz
PI0027,Intel® Core™ i9-8950HK Processor,,6,,2.90 GHz,,,,,8 GT/s DMI,,,45 W,,,,Q2'18,,,,4.80 GHz,,,,,,,14 nm,,12 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/134903/Intel-Core-i9-8950HK-Processor-12M-Cache-up-to-4_80-GHz
PI0028,Intel® Core™ i7-8850H Processor,,6,,2.60 GHz,,,,,8 GT/s DMI,,,45 W,,,,Q2'18,,,,4.30 GHz,,,,,,,14 nm,,9 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/134899/Intel-Core-i7-8850H-Processor-9M-Cache-up-to-4_30-GHz
PI0029,Intel® Core™ i7-8809G Processor with Radeon™ RX Vega M GH graphics,,4,,3.10 GHz,,,,,8 GT/s DMI,,,,,,,Q1'18,,,,4.20 GHz,,,,,,,14 nm,,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/130409/Intel-Core-i7-8809G-Processor-with-Radeon-RX-Vega-M-GH-graphics-8M-Cache-up-to-4_20-GHz
PI0030,Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics,,4,,3.10 GHz,,,,,8 GT/s DMI,,,,,,,Q1'18,,,,4.10 GHz,,,,,,,14 nm,,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/130407/Intel-Core-i7-8709G-Processor-with-Radeon-RX-Vega-M-GH-graphics-8M-Cache-up-to-4_10-GHz
PI0031,Intel® Core™ i7-8706G Processor with Radeon™ RX Vega M GL graphics,,4,,3.10 GHz,,,,,8 GT/s DMI,,,,,,,Q1'18,,,,4.10 GHz,,,,,,,14 nm,,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/130406/Intel-Core-i7-8706G-Processor-with-Radeon-RX-Vega-M-GL-graphics-8M-Cache-up-to-4_10-GHz
PI0032,Intel® Core™ i7-8705G Processor with Radeon™ RX Vega M GL graphics,,4,,3.10 GHz,,,,,8 GT/s DMI,,,,,,,Q1'18,,,,4.10 GHz,,,,,,,14 nm,,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/130411/Intel-Core-i7-8705G-Processor-with-Radeon-RX-Vega-M-GL-graphics-8M-Cache-up-to-4_10-GHz
PI0033,Intel® Core™ i7-8750H Processor,,6,,2.20 GHz,,,,,8 GT/s DMI,,,45 W,,,,Q2'18,,,,4.10 GHz,,,,,,,14 nm,,9 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/134906/Intel-Core-i7-8750H-Processor-9M-Cache-up-to-4_10-GHz
PI0034,Intel® Core™ i7-8700T Processor,,6,,2.40 GHz,,,,,8 GT/s DMI3,,,35 W,,,,Q2'18,,,,4.00 GHz,,,,,,,14 nm,,12 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/129948/Intel-Core-i7-8700T-Processor-12M-Cache-up-to-4_00-GHz
PI0035,Intel® Core™ i7-8700K Processor,,6,,3.70 GHz,,,,,8 GT/s DMI3,,,95 W,,,,Q4'17,,,,4.70 GHz,,,,,,,14 nm,,12 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/126684/Intel-Core-i7-8700K-Processor-12M-Cache-up-to-4_70-GHz
PI0036,Intel® Core™ i7-8700B Processor,,6,,3.20 GHz,,,,,8 GT/s DMI3,,,65 W,,,,Q2'18,,,,4.60 GHz,,,,,,,14 nm,,12 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/134905/Intel-Core-i7-8700B-Processor-12M-Cache-up-to-4_60-GHz
